time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,phase_type_grouping,sex,age,full_time,part_time,headcount,fte
201516,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,Total,Total,Total,26608,376,26984,26796
201516,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,Independent school,Total,Total,779,72,851,815
201516,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,State-funded AP school,Total,Total,136,0,136,136
201516,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,State-funded nursery,Total,Total,122,114,236,179
201516,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,State-funded primary,Total,Total,14733,533,15266,14999.5
201516,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,State-funded secondary,Total,Total,8684,0,8684,8684
201516,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,State-funded special school,Total,Total,419,0,419,419
201516,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,Total,Total,Total,24873,719,25592,25232.5
201516,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,Independent school,Total,Total,13148,417,13565,13356.5
201516,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,State-funded AP school,Total,Total,54,0,54,54
201516,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,State-funded nursery,Total,Total,156,56,212,184
201516,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,State-funded primary,Total,Total,7253,69,7322,7287.5
201516,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,State-funded secondary,Total,Total,4808,0,4808,4808
201516,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,State-funded special school,Total,Total,183,0,183,183
201516,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,Total,Total,Total,25602,542,26144,25873
201516,Academic year,Local authority,E92000001,England,London,E12000007,212,Wandsworth,E09000032,Independent school,Total,Total,10121,329,10450,10285.5
201516,Academic year,Local authority,E92000001,England,London,E12000007,212,Wandsworth,E09000032,State-funded AP school,Total,Total,120,0,120,120
201516,Academic year,Local authority,E92000001,England,London,E12000007,212,Wandsworth,E09000032,State-funded nursery,Total,Total,102,126,228,165
201516,Academic year,Local authority,E92000001,England,London,E12000007,212,Wandsworth,E09000032,State-funded primary,Total,Total,19008,1471,20479,19743.5
201516,Academic year,Local authority,E92000001,England,London,E12000007,212,Wandsworth,E09000032,State-funded secondary,Total,Total,11546,0,11546,11546
201516,Academic year,Local authority,E92000001,England,London,E12000007,212,Wandsworth,E09000032,State-funded special school,Total,Total,769,1,770,769.5
201516,Academic year,Local authority,E92000001,England,London,E12000007,212,Wandsworth,E09000032,Total,Total,Total,41666,1927,43593,42629.5
201516,Academic year,Local authority,E92000001,England,London,E12000007,213,Westminster,E09000033,Independent school,Total,Total,8363,176,8539,8451
201516,Academic year,Local authority,E92000001,England,London,E12000007,213,Westminster,E09000033,State-funded AP school,Total,Total,60,0,60,60
201516,Academic year,Local authority,E92000001,England,London,E12000007,213,Westminster,E09000033,State-funded nursery,Total,Total,99,206,305,202
201516,Academic year,Local authority,E92000001,England,London,E12000007,213,Westminster,E09000033,State-funded primary,Total,Total,10890,312,11202,11046
201516,Academic year,Local authority,E92000001,England,London,E12000007,213,Westminster,E09000033,State-funded secondary,Total,Total,11097,38,11135,11116
201516,Academic year,Local authority,E92000001,England,London,E12000007,213,Westminster,E09000033,State-funded special school,Total,Total,198,0,198,198
201516,Academic year,Local authority,E92000001,England,London,E12000007,213,Westminster,E09000033,Total,Total,Total,30707,732,31439,31073
