area_code,inflow,outflow,net,age_band,year
E09000019,293.0,516.0,-223.0,5-9,2024
E09000020,303.0,426.0,-123.0,5-9,2024
E09000021,483.0,555.0,-72.0,5-9,2024
E09000022,614.0,1100.0,-486.0,5-9,2024
E09000023,734.0,1304.0,-570.0,5-9,2024
E09000024,645.0,1016.0,-371.0,5-9,2024
E09000025,1123.0,2266.0,-1143.0,5-9,2024
E09000026,1386.0,1949.0,-563.0,5-9,2024
E09000027,537.0,625.0,-88.0,5-9,2024
E09000028,649.0,1162.0,-513.0,5-9,2024
E09000029,734.0,688.0,46.0,5-9,2024
E09000030,467.0,907.0,-440.0,5-9,2024
E09000031,766.0,1322.0,-556.0,5-9,2024
E09000032,696.0,1117.0,-421.0,5-9,2024
E09000033,379.0,671.0,-292.0,5-9,2024
E06000001,257.0,136.0,121.0,10-14,2024
E06000002,299.0,445.0,-146.0,10-14,2024
E06000003,273.0,243.0,30.0,10-14,2024
E06000004,426.0,340.0,86.0,10-14,2024
E06000005,259.0,181.0,78.0,10-14,2024
E06000006,204.0,195.0,9.0,10-14,2024
E06000007,345.0,322.0,23.0,10-14,2024
E06000008,452.0,362.0,90.0,10-14,2024
E06000009,349.0,475.0,-126.0,10-14,2024
E06000010,383.0,499.0,-116.0,10-14,2024
E06000011,697.0,432.0,265.0,10-14,2024
E06000012,236.0,206.0,30.0,10-14,2024
E06000013,267.0,189.0,78.0,10-14,2024
E06000014,244.0,329.0,-85.0,10-14,2024
E06000015,447.0,556.0,-109.0,10-14,2024
E06000016,524.0,1038.0,-514.0,10-14,2024
E06000017,242.0,94.0,148.0,10-14,2024
E06000018,527.0,868.0,-341.0,10-14,2024
E06000019,246.0,236.0,10.0,10-14,2024
E06000020,384.0,285.0,99.0,10-14,2024
E06000021,442.0,595.0,-153.0,10-14,2024
E06000022,365.0,276.0,89.0,10-14,2024
E06000023,486.0,945.0,-459.0,10-14,2024
E06000024,377.0,272.0,105.0,10-14,2024
E06000025,572.0,461.0,111.0,10-14,2024
E06000026,289.0,416.0,-127.0,10-14,2024
E06000027,257.0,206.0,51.0,10-14,2024
E06000030,279.0,393.0,-114.0,10-14,2024
E06000031,499.0,550.0,-51.0,10-14,2024
E06000032,483.0,815.0,-332.0,10-14,2024
E06000033,511.0,432.0,79.0,10-14,2024
E06000034,527.0,529.0,-2.0,10-14,2024
E06000035,844.0,690.0,154.0,10-14,2024
E06000036,528.0,303.0,225.0,10-14,2024
E06000037,439.0,399.0,40.0,10-14,2024
E06000038,381.0,624.0,-243.0,10-14,2024
E06000039,501.0,710.0,-209.0,10-14,2024
E06000040,813.0,486.0,327.0,10-14,2024
E06000041,580.0,419.0,161.0,10-14,2024
E06000042,620.0,707.0,-87.0,10-14,2024
E06000043,422.0,459.0,-37.0,10-14,2024
E06000044,283.0,451.0,-168.0,10-14,2024
E06000045,288.0,478.0,-190.0,10-14,2024
E06000046,178.0,184.0,-6.0,10-14,2024
E06000047,872.0,663.0,209.0,10-14,2024
E06000049,632.0,439.0,193.0,10-14,2024
E06000050,486.0,444.0,42.0,10-14,2024
E06000051,623.0,416.0,207.0,10-14,2024
E06000052,720.0,485.0,235.0,10-14,2024
E06000053,10.0,15.0,-5.0,10-14,2024
E06000054,1113.0,904.0,209.0,10-14,2024
E06000055,420.0,340.0,80.0,10-14,2024
E06000056,824.0,645.0,179.0,10-14,2024
E06000057,400.0,320.0,80.0,10-14,2024
E06000058,543.0,588.0,-45.0,10-14,2024
E06000059,1011.1,581.1,430.0,10-14,2024
E06000060,1584.4,1002.4,582.0,10-14,2024
E06000061,864.8,480.8,384.0,10-14,2024
E06000062,651.3,651.3,-0.0,10-14,2024
E06000063,328.4,152.4,176.0,10-14,2024
E06000064,326.9,249.9,77.0,10-14,2024
E06000065,1209.2,879.2,330.0,10-14,2024
E06000066,994.1,780.1,214.0,10-14,2024
E09000001,3.0,20.0,-17.0,10-14,2024
E09000002,1050.0,1404.0,-354.0,10-14,2024
E09000003,1077.0,1166.0,-89.0,10-14,2024
E09000004,939.0,957.0,-18.0,10-14,2024
E09000005,847.0,1310.0,-463.0,10-14,2024
E09000006,911.0,979.0,-68.0,10-14,2024
E09000007,297.0,545.0,-248.0,10-14,2024
E09000008,1351.0,1606.0,-255.0,10-14,2024
E09000009,763.0,1343.0,-580.0,10-14,2024
E09000010,980.0,1253.0,-273.0,10-14,2024
E09000011,665.0,1206.0,-541.0,10-14,2024
E09000012,448.0,787.0,-339.0,10-14,2024
E09000013,456.0,703.0,-247.0,10-14,2024
E09000014,810.0,1070.0,-260.0,10-14,2024
E09000015,896.0,1042.0,-146.0,10-14,2024
E09000016,965.0,752.0,213.0,10-14,2024
E09000017,910.0,1253.0,-343.0,10-14,2024
E09000018,743.0,1224.0,-481.0,10-14,2024
E09000019,261.0,435.0,-174.0,10-14,2024
E09000020,296.0,657.0,-361.0,10-14,2024
E09000021,502.0,515.0,-13.0,10-14,2024
E09000022,536.0,1027.0,-491.0,10-14,2024
E09000023,605.0,1067.0,-462.0,10-14,2024
E09000024,569.0,938.0,-369.0,10-14,2024
E09000025,904.0,1757.0,-853.0,10-14,2024
E09000026,1083.0,1581.0,-498.0,10-14,2024
E09000027,455.0,642.0,-187.0,10-14,2024
E09000028,501.0,1018.0,-517.0,10-14,2024
E09000029,760.0,659.0,101.0,10-14,2024
E09000030,329.0,768.0,-439.0,10-14,2024
E09000031,609.0,1020.0,-411.0,10-14,2024
E09000032,566.0,991.0,-425.0,10-14,2024
E09000033,424.0,685.0,-261.0,10-14,2024
E06000001,245.0,348.0,-103.0,15-19,2024
E06000002,612.0,695.0,-83.0,15-19,2024
E06000003,279.0,495.0,-216.0,15-19,2024
E06000004,449.0,1017.0,-568.0,15-19,2024
E06000005,266.0,536.0,-270.0,15-19,2024
E06000006,223.0,589.0,-366.0,15-19,2024
E06000007,361.0,1137.0,-776.0,15-19,2024
E06000008,431.0,671.0,-240.0,15-19,2024
E06000009,509.0,726.0,-217.0,15-19,2024
E06000010,1624.0,931.0,693.0,15-19,2024
E06000011,714.0,1733.0,-1019.0,15-19,2024
E06000012,272.0,658.0,-386.0,15-19,2024
E06000013,330.0,794.0,-464.0,15-19,2024
E06000014,5642.0,1030.0,4612.0,15-19,2024
E06000015,1528.0,1214.0,314.0,15-19,2024
E06000016,4489.0,1764.0,2725.0,15-19,2024
E06000017,221.0,549.0,-328.0,15-19,2024
E06000018,10275.0,1909.0,8366.0,15-19,2024
E06000019,300.0,719.0,-419.0,15-19,2024
E06000020,882.0,962.0,-80.0,15-19,2024
E06000021,1274.0,1006.0,268.0,15-19,2024
E06000022,4808.0,1145.0,3663.0,15-19,2024
E06000023,5468.0,1947.0,3521.0,15-19,2024
E06000024,391.0,905.0,-514.0,15-19,2024
E06000025,1834.0,1311.0,523.0,15-19,2024
E06000026,2608.0,794.0,1814.0,15-19,2024
E06000027,275.0,576.0,-301.0,15-19,2024
E06000030,464.0,980.0,-516.0,15-19,2024
E06000031,529.0,1259.0,-730.0,15-19,2024
E06000032,479.0,1213.0,-734.0,15-19,2024
E06000033,410.0,912.0,-502.0,15-19,2024
E06000034,594.0,1126.0,-532.0,15-19,2024
E06000035,1005.0,1566.0,-561.0,15-19,2024
E06000036,426.0,957.0,-531.0,15-19,2024
E06000037,423.0,1225.0,-802.0,15-19,2024
E06000038,2128.0,1161.0,967.0,15-19,2024
E06000039,404.0,1025.0,-621.0,15-19,2024
E06000040,472.0,1420.0,-948.0,15-19,2024
E06000041,1205.0,1470.0,-265.0,15-19,2024
E06000042,562.0,1822.0,-1260.0,15-19,2024
E06000043,4570.0,1332.0,3238.0,15-19,2024
E06000044,2353.0,819.0,1534.0,15-19,2024
E06000045,4204.0,932.0,3272.0,15-19,2024
E06000046,208.0,458.0,-250.0,15-19,2024
E06000047,4161.0,2037.0,2124.0,15-19,2024
E06000049,662.0,2060.0,-1398.0,15-19,2024
E06000050,1429.0,1863.0,-434.0,15-19,2024
E06000051,725.0,1780.0,-1055.0,15-19,2024
E06000052,2070.0,1814.0,256.0,15-19,2024
E06000053,38.0,45.0,-7.0,15-19,2024
E06000054,1006.0,2798.0,-1792.0,15-19,2024
E06000055,526.0,1027.0,-501.0,15-19,2024
E06000056,724.0,1475.0,-751.0,15-19,2024
E06000057,455.0,1151.0,-696.0,15-19,2024
E06000058,3745.9,1755.9,1990.0,15-19,2024
E06000059,900.0,1851.0,-951.0,15-19,2024
E06000060,1520.4,3879.4,-2359.0,15-19,2024
E06000061,751.8,2007.8,-1256.0,15-19,2024
E06000062,1977.7,2422.7,-445.0,15-19,2024
E06000063,454.4,842.4,-388.0,15-19,2024
E06000064,427.3,973.3,-546.0,15-19,2024
E06000065,1202.3,3296.3,-2094.0,15-19,2024
E06000066,1110.9,2647.9,-1537.0,15-19,2024
E09000001,124.0,53.0,71.0,15-19,2024
E09000002,1095.0,1863.0,-768.0,15-19,2024
E09000003,1307.0,2919.0,-1612.0,15-19,2024
E09000004,970.0,1673.0,-703.0,15-19,2024
E09000005,1710.0,2020.0,-310.0,15-19,2024
E09000006,740.0,2222.0,-1482.0,15-19,2024
E09000007,2659.0,1237.0,1422.0,15-19,2024
E09000008,1326.0,3086.0,-1760.0,15-19,2024
E09000009,1877.0,2534.0,-657.0,15-19,2024
E09000010,1009.0,2347.0,-1338.0,15-19,2024
E09000011,1375.0,1945.0,-570.0,15-19,2024
E09000012,771.0,1300.0,-529.0,15-19,2024
E09000013,902.0,1043.0,-141.0,15-19,2024
E09000014,1004.0,1678.0,-674.0,15-19,2024
E09000015,835.0,2166.0,-1331.0,15-19,2024
E09000016,893.0,1533.0,-640.0,15-19,2024
E09000017,1510.0,2201.0,-691.0,15-19,2024
E09000018,817.0,1835.0,-1018.0,15-19,2024
E09000019,1609.0,982.0,627.0,15-19,2024
E09000020,619.0,861.0,-242.0,15-19,2024
E09000021,1273.0,1269.0,4.0,15-19,2024
E09000022,1183.0,1740.0,-557.0,15-19,2024
E09000023,998.0,1825.0,-827.0,15-19,2024
E09000024,610.0,1586.0,-976.0,15-19,2024
E09000025,1542.0,2130.0,-588.0,15-19,2024
E09000026,1213.0,2189.0,-976.0,15-19,2024
E09000027,720.0,1592.0,-872.0,15-19,2024
E09000028,2056.0,1803.0,253.0,15-19,2024
E09000029,472.0,1410.0,-938.0,15-19,2024
E09000030,1733.0,954.0,779.0,15-19,2024
E09000031,822.0,1479.0,-657.0,15-19,2024
E09000032,1237.0,1659.0,-422.0,15-19,2024
E09000033,1466.0,1078.0,388.0,15-19,2024
E06000001,870.0,471.0,399.0,0-15,2024
E06000002,1125.0,1786.0,-661.0,0-15,2024
E06000003,989.0,726.0,263.0,0-15,2024
E06000004,1588.0,1248.0,340.0,0-15,2024
E06000005,881.0,781.0,100.0,0-15,2024
E06000006,806.0,734.0,72.0,0-15,2024
E06000007,1349.0,1086.0,263.0,0-15,2024
E06000008,1501.0,1262.0,239.0,0-15,2024
E06000009,1188.0,1502.0,-314.0,0-15,2024
E06000010,1374.0,2099.0,-725.0,0-15,2024
E06000011,2726.0,1551.0,1175.0,0-15,2024
E06000012,921.0,695.0,226.0,0-15,2024
E06000013,964.0,681.0,283.0,0-15,2024
E06000014,1016.0,1195.0,-179.0,0-15,2024
E06000015,1749.0,2122.0,-373.0,0-15,2024
E06000016,2262.0,3711.0,-1449.0,0-15,2024
E06000017,565.0,311.0,254.0,0-15,2024
E06000018,2154.0,3380.0,-1226.0,0-15,2024
E06000019,983.0,821.0,162.0,0-15,2024
E06000020,1381.0,938.0,443.0,0-15,2024
E06000021,1863.0,2149.0,-286.0,0-15,2024
E06000022,1202.0,1017.0,185.0,0-15,2024
E06000023,2098.0,3952.0,-1854.0,0-15,2024
E06000024,1460.0,925.0,535.0,0-15,2024
E06000025,2271.0,1689.0,582.0,0-15,2024
E06000026,1055.0,1589.0,-534.0,0-15,2024
E06000027,816.0,785.0,31.0,0-15,2024
E06000030,1283.0,1316.0,-33.0,0-15,2024
E06000031,1719.0,1913.0,-194.0,0-15,2024
E06000032,1916.0,3278.0,-1362.0,0-15,2024
E06000033,1609.0,1545.0,64.0,0-15,2024
E06000034,2070.0,2011.0,59.0,0-15,2024
E06000035,3107.0,2552.0,555.0,0-15,2024
E06000036,1376.0,1021.0,355.0,0-15,2024
E06000037,1370.0,1154.0,216.0,0-15,2024
E06000038,1423.0,2280.0,-857.0,0-15,2024
E06000039,1987.0,2636.0,-649.0,0-15,2024
E06000040,1841.0,1423.0,418.0,0-15,2024
E06000041,1903.0,1284.0,619.0,0-15,2024
E06000042,2474.0,2266.0,208.0,0-15,2024
E06000043,1456.0,1681.0,-225.0,0-15,2024
E06000044,1109.0,1738.0,-629.0,0-15,2024
E06000045,1176.0,1935.0,-759.0,0-15,2024
