time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,pcon_code,pcon_name,phase_type_grouping,establishment_type,hospital_school,sen_provision,pupil_count
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,State-funded primary,Total,Total,Total,29074
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,State-funded primary,Total,Total,"Education, health and care plan",1626
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,4136
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,State-funded secondary,Total,Total,Total,30796
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,State-funded secondary,Total,Total,"Education, health and care plan",1175
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,3361
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,State-funded special school,Total,Total,Total,857
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,State-funded special school,Total,Total,"Education, health and care plan",819
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,38
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,Independent school,Total,Total,Total,771
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,Independent school,Total,Total,"Education, health and care plan",105
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,79
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,State-funded alternative provision,Total,Total,Total,18
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,State-funded alternative provision,Total,Total,"Education, health and care plan",2
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,15
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,State-funded primary,Total,Total,Total,21449
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,State-funded primary,Total,Total,"Education, health and care plan",963
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,3405
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,State-funded secondary,Total,Total,Total,19809
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,State-funded secondary,Total,Total,"Education, health and care plan",506
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,2276
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,State-funded special school,Total,Total,Total,964
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,State-funded special school,Total,Total,"Education, health and care plan",964
202526,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,0
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,Independent school,Total,Total,Total,1727
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,Independent school,Total,Total,"Education, health and care plan",139
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,244
