time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,phase-type_grouping,boarder,ncyear,resident_headcount,school_in_la,school_outside_la,Camden,Hammersmith_and_Fulham,Islington,Kensington_and_Chelsea,Wandsworth,Westminster
202324,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Secondary,Total,Total,8433,5789,2644,1246,26,5789,53,2,124
202324,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Special School,Total,Total,420,390,30,8,0,390,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Primary,Total,Total,4374,4124,250,4,111,0,4124,2,108
202324,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Secondary,Total,Total,2985,2228,757,1,467,0,2228,11,178
202324,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Special School,Total,Total,133,34,99,2,52,1,34,2,37
202324,Academic year,Local authority,E92000001,England,E12000007,London,212,Wandsworth,E09000032,Primary,Total,Total,16906,15179,1727,1,71,0,327,15179,54
202324,Academic year,Local authority,E92000001,England,E12000007,London,212,Wandsworth,E09000032,Secondary,Total,Total,10384,7374,3010,1,698,1,280,7374,101
202324,Academic year,Local authority,E92000001,England,E12000007,London,212,Wandsworth,E09000032,Special School,Total,Total,549,488,61,0,5,0,1,488,0
202324,Academic year,Local authority,E92000001,England,E12000007,London,213,Westminster,E09000033,Primary,Total,Total,6736,5688,1048,72,17,8,706,1,5688
202324,Academic year,Local authority,E92000001,England,E12000007,London,213,Westminster,E09000033,Secondary,Total,Total,5876,4671,1205,160,182,7,612,20,4671
202324,Academic year,Local authority,E92000001,England,E12000007,London,213,Westminster,E09000033,Special School,Total,Total,274,147,127,3,70,1,42,1,147
